Country,Province/Territory,District/Agency,Region Type,Date,Indicators,Values,Unit
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,9.8,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,11.6,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools,12.3,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,2873,Number
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,340,Number
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,274,Number
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,116,Number
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,130,Number
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,158,Number
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,197,Number
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,33,Number
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,410,Number
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,326,Number
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,336,Number
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,310,Number
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools,243,Number
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,28.3,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,22,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,12.2,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,19.5,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,54.7,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,18.8,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,44.8,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,31.6,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,38.2,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,33.2,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,21.8,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,27,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools,28.5,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Number of Children (6 - 10) enrolled in Primary Schools,5895,Number
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools,695,Number
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools,623,Number
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools,236,Number
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools,296,Number
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools,357,Number
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools,368,Number
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools,98,Number
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools,777,Number
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools,614,Number
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools,632,Number
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools,645,Number
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools,554,Number
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Gender parity index (GPI) for Primary School NER,0.45,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Gender parity index (GPI) for Primary School NER,0.37,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Gender parity index (GPI) for Primary School NER,0.22,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Gender parity index (GPI) for Primary School NER,0.33,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Gender parity index (GPI) for Primary School NER,0.69,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Gender parity index (GPI) for Primary School NER,0.36,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Gender parity index (GPI) for Primary School NER,0.78,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Gender parity index (GPI) for Primary School NER,0.38,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Gender parity index (GPI) for Primary School NER,0.43,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Gender parity index (GPI) for Primary School NER,0.61,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Gender parity index (GPI) for Primary School NER,0.28,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Gender parity index (GPI) for Primary School NER,0.28,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Gender parity index (GPI) for Primary School NER,0.3,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,67,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,115,Number
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Number of Male Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,48.2,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Net Enrolment Rate (NER) of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,114,Number
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Number of Female Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,57.6,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Net Enrolment Rate (NER) of Children (6 - 10) enrolled in Primary Schools - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,229,Number
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Number of Children (6 - 10) enrolled in Primary Schools - Urban,,Number
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Gender parity index (GPI) for Primary School NER - Urban,0.72,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Khyber,Agency,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Kurram,Agency,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Mohmand,Agency,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Orakzai,Agency,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,South Waziristan,Agency,2007,Gender parity index (GPI) for Primary School NER - Urban,,Percetage
Pakistan,Federally Administered Tribal Areas,Federally Administered Tribal Areas,Territory,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,37.8,Percetage
Pakistan,Federally Administered Tribal Areas,Bajaur,Agency,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Bannu,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
Pakistan,Federally Administered Tribal Areas,FR DI Khan,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Kohat,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Lakki Marwat,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Peshawar,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
Pakistan,Federally Administered Tribal Areas,FR Tank,Frontier,2007,Net Enrolment Rate (NER) of Male Children (6 - 10) enrolled in Primary Schools - Rural,,Percetage
