Country,Province/Territory,District/Agency,Region Type,Date,Indicator,Value,Unit
Pakistan,FATA,F.R Kohat,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Numer of Total Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Enrolment in Boys Mosque Schools,10828,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Enrolment in Boys Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Enrolment in Girls Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Enrolment in Total Mosque Schools,10828,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Enrolment in Total Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Sanctioned Teachers in Boys Mosque Schools,206,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Sanctioned Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Sanctioned Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Sanctioned Teachers in Total Mosque Schools,206,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Sanctioned Teachers in Total Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Working Teachers in Boys Mosque Schools,201,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Working Teachers in Boys Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Working Teachers in Girls Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Working Teachers in Total Mosque Schools,201,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Khyber,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,Total,District,2012,Working Teachers in Total Mosque Schools,,Number
Pakistan,FATA,FATA,Province,2012,Numer of Boys Primary Schools,2108,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,Khyber,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,Total,District,2012,Numer of Boys Primary Schools,,Number
Pakistan,FATA,FATA,Province,2012,Numer of Girls Primary Schools,1551,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,Khyber,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,Total,District,2012,Numer of Girls Primary Schools,,Number
Pakistan,FATA,FATA,Province,2012,Numer of Total Primary Schools,3659,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,Khyber,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,Total,District,2012,Numer of Total Primary Schools,,Number
Pakistan,FATA,FATA,Province,2012,Enrolment in Boys Primary Schools,191255,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,Khyber,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,Total,District,2012,Enrolment in Boys Primary Schools,,Number
Pakistan,FATA,FATA,Province,2012,Enrolment in Girls Primary Schools,124425,Number
Pakistan,FATA,F.R D.I Khan ,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,F.R Lakki,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,F.R Tank,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,S. Waziristan,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,N. Waziristan ,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,Kurram ,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,F.R Bannu,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,Bajaur,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,Mohmand,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,F.R Kohat,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,Orakzai,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,Khyber,District,2012,Enrolment in Girls Primary Schools,,Number
Pakistan,FATA,F.R Peshawar,District,2012,Enrolment in Girls Primary Schools,,Number
